,AC Fraction,BA Fraction,BC Fraction,BF Fraction,BH Fraction,BL Fraction,BO Fraction,BP Fraction,BT Fraction,BU Fraction,BV Fraction,BY Fraction,CC Fraction,CD Fraction,CG Fraction,CH Fraction,CS Fraction,Concentration,Contamination?,DF Fraction,DL Fraction,DP Fraction,EL Fraction,ER Fraction,FP Fraction,Media,OD,PC Fraction,PJ Fraction,Passage,RI Fraction,Rep,Total,Treatment,corrected OD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,LowReads,0,1,0,0,0,0,Inulin,0.3096,0,0,1,0,0,29,COMM10<PJ,1.548
1,0.065173116,0,0,0,0.015614392,0,0,0,0.018329939,0,0.337406653,0,0,0,0,0,0.012219959,10,No,0,0.355057705,0.174473863,0.021724372,0,0,Inulin,0.3738,0,0,1,0,0,1489,COMM10<BV,1.869
2,0.033731188,0,0,0,0.009859886,0,0,0.005708355,0.032693306,0,0.448884276,0,0,0,0,0,0.008303062,10,No,0,0.318629995,0.11468604,0.021795537,0,0,Inulin,0.4118,0,0.005708355,1,0,0,1937,COMM10<AC,2.059
3,0,0,0,0,0,0,0,0,0.023871812,0,0.012426422,0,0,0,0,0,0.085022891,10,No,0,0.036625245,0.456834532,0.358731197,0,0,No carb,0.1607,0,0.026487901,1,0,0,3080,COMM10<PJ,0.8035
4,0.500243546,0,0,0,0,0,0,0.006819289,0.213833415,0,0.055041403,0,0,0,0,0,0.017048222,10,No,0,0.015586946,0.086702387,0.07793473,0,0,Inulin Mono,0.507,0,0.026790063,1,0,0,2061,COMM10<PJ,2.535
5,0.389452333,0,0,0,0,0,0,0.007437458,0.055104801,0,0.399932387,0,0,0,0,0,0.039215686,10,No,0,0.094658553,0.007775524,0.006423259,0,0,Inulin Mono,0.4249,0,0,1,0,0,2973,COMM10<BV,2.1245
6,0.696824225,0,0,0,0,0,0,0.005539143,0.07717873,0,0.014401773,0,0,0,0,0,0.014032496,10,No,0,0.052437223,0.119276219,0.020310192,0,0,Inulin Mono,0.4006,0,0,1,0,0,2722,COMM10<AC,2.003
7,0,0,0,0,0.004327301,0,0,0,0.00747443,0,0.033831629,0,0,0,0,0,0.085365854,10,No,0,0.017702596,0.543273013,0.308025177,0,0,No carb,0.1581,0,0,1,0,0,2550,COMM10<BV,0.7905
8,0.026934934,0,0,0,0.016225864,0,0,0.007301639,0.00957326,0,0.054681162,0,0,0,0,0,0.007950673,10,No,0,0.633944508,0.161447347,0.066688301,0,0,Inulin,0.3186,0,0.015252312,1,0,1,6193,COMM10<PJ,1.593
9,0.057526366,0,0,0,0.011697028,0,0,0.0042186,0.008820709,0,0.244103547,0,0,0,0,0,0.013998082,10,No,0,0.432214765,0.195014382,0.03240652,0,0,Inulin,0.3728,0,0,1,0,1,5255,COMM10<BV,1.864
