,Euclidean Distance,Rep,Media,Passage,Treatment,Complexity
0,0.24041935,0,Laminarin Mono,1,COMM10<PJ,0
1,0.24643368,0,Laminarin Mono,1,COMM10<PJ,0
2,0.192775729,0,Laminarin Mono,1,COMM10<PJ,0
3,0.138274261,1,Laminarin Mono,1,COMM10<PJ,0
4,0.133285812,1,Laminarin Mono,1,COMM10<PJ,0
5,0.09882759,1,Laminarin Mono,1,COMM10<PJ,0
6,0.14068522,2,Laminarin Mono,1,COMM10<PJ,0
7,0.132842265,2,Laminarin Mono,1,COMM10<PJ,0
8,0.125894943,2,Laminarin Mono,1,COMM10<PJ,0
9,0.541873409,0,Laminarin Mono,1,COMM10<BT,0
10,0.55721147,0,Laminarin Mono,1,COMM10<BT,0
11,0.511614556,0,Laminarin Mono,1,COMM10<BT,0
12,0.541873035,1,Laminarin Mono,1,COMM10<BT,0
13,0.557175186,1,Laminarin Mono,1,COMM10<BT,0
14,0.511546887,1,Laminarin Mono,1,COMM10<BT,0
15,0.533537048,2,Laminarin Mono,1,COMM10<BT,0
16,0.548923726,2,Laminarin Mono,1,COMM10<BT,0
17,0.503736491,2,Laminarin Mono,1,COMM10<BT,0
18,0.440241843,0,Laminarin Mono,1,COMM10<BV,0
19,0.448492908,0,Laminarin Mono,1,COMM10<BV,0
20,0.427349347,0,Laminarin Mono,1,COMM10<BV,0
21,0.384286234,1,Laminarin Mono,1,COMM10<BV,0
22,0.392087055,1,Laminarin Mono,1,COMM10<BV,0
23,0.375216693,1,Laminarin Mono,1,COMM10<BV,0
24,0.391998661,2,Laminarin Mono,1,COMM10<BV,0
25,0.399981676,2,Laminarin Mono,1,COMM10<BV,0
26,0.385063259,2,Laminarin Mono,1,COMM10<BV,0
27,0.103877865,0,Laminarin Mono,1,COMM10<DP,0
28,0.109453159,0,Laminarin Mono,1,COMM10<DP,0
29,0.190651552,0,Laminarin Mono,1,COMM10<DP,0
30,0.077624896,1,Laminarin Mono,1,COMM10<DP,0
31,0.091548083,1,Laminarin Mono,1,COMM10<DP,0
32,0.167192343,1,Laminarin Mono,1,COMM10<DP,0
33,0.080056574,2,Laminarin Mono,1,COMM10<DP,0
34,0.09377532,2,Laminarin Mono,1,COMM10<DP,0
35,0.170563772,2,Laminarin Mono,1,COMM10<DP,0
36,0.128534779,0,Laminarin Mono,1,COMM10<BP,0
37,0.14805415,0,Laminarin Mono,1,COMM10<BP,0
38,0.144069183,0,Laminarin Mono,1,COMM10<BP,0
39,0.130864247,1,Laminarin Mono,1,COMM10<BP,0
40,0.148510143,1,Laminarin Mono,1,COMM10<BP,0
41,0.138583145,1,Laminarin Mono,1,COMM10<BP,0
42,0.104642137,2,Laminarin Mono,1,COMM10<BP,0
43,0.123079363,2,Laminarin Mono,1,COMM10<BP,0
44,0.117406798,2,Laminarin Mono,1,COMM10<BP,0
45,0.147490164,0,Laminarin Mono,1,COMM10<EL,0
46,0.162536689,0,Laminarin Mono,1,COMM10<EL,0
47,0.137567666,0,Laminarin Mono,1,COMM10<EL,0
48,0.158039964,1,Laminarin Mono,1,COMM10<EL,0
49,0.174868034,1,Laminarin Mono,1,COMM10<EL,0
50,0.155221105,1,Laminarin Mono,1,COMM10<EL,0
51,0.085586826,2,Laminarin Mono,1,COMM10<EL,0
52,0.099423694,2,Laminarin Mono,1,COMM10<EL,0
53,0.12135118,2,Laminarin Mono,1,COMM10<EL,0
54,0.068687061,0,Laminarin Mono,1,COMM10<BH,0
55,0.045510579,0,Laminarin Mono,1,COMM10<BH,0
56,0.077562425,0,Laminarin Mono,1,COMM10<BH,0
57,0.095645555,1,Laminarin Mono,1,COMM10<BH,0
58,0.081712388,1,Laminarin Mono,1,COMM10<BH,0
59,0.067247397,1,Laminarin Mono,1,COMM10<BH,0
60,0.141091625,2,Laminarin Mono,1,COMM10<BH,0
61,0.121389504,2,Laminarin Mono,1,COMM10<BH,0
62,0.065180364,2,Laminarin Mono,1,COMM10<BH,0
63,0.13707208,0,Laminarin Mono,1,COMM10<AC,0
64,0.139202636,0,Laminarin Mono,1,COMM10<AC,0
65,0.204206623,0,Laminarin Mono,1,COMM10<AC,0
66,0.124262827,1,Laminarin Mono,1,COMM10<AC,0
67,0.122238076,1,Laminarin Mono,1,COMM10<AC,0
68,0.182117339,1,Laminarin Mono,1,COMM10<AC,0
69,0.175944515,0,Laminarin Mono,1,COMM10<DL,0
70,0.176123619,0,Laminarin Mono,1,COMM10<DL,0
71,0.170688046,0,Laminarin Mono,1,COMM10<DL,0
72,0.052508216,1,Laminarin Mono,1,COMM10<DL,0
73,0.039313696,1,Laminarin Mono,1,COMM10<DL,0
74,0.080385006,1,Laminarin Mono,1,COMM10<DL,0
75,0.11268859,2,Laminarin Mono,1,COMM10<DL,0
76,0.099441619,2,Laminarin Mono,1,COMM10<DL,0
77,0.171303847,2,Laminarin Mono,1,COMM10<DL,0
78,0.171164416,0,Inulin Mono,1,COMM10<PJ,0.08
79,0.21227939,0,Inulin Mono,1,COMM10<PJ,0.08
80,0.191874735,0,Inulin Mono,1,COMM10<PJ,0.08
81,0.094751777,1,Inulin Mono,1,COMM10<PJ,0.08
82,0.121308998,1,Inulin Mono,1,COMM10<PJ,0.08
83,0.089710509,1,Inulin Mono,1,COMM10<PJ,0.08
84,0.150648992,2,Inulin Mono,1,COMM10<PJ,0.08
85,0.219748277,2,Inulin Mono,1,COMM10<PJ,0.08
86,0.188888433,2,Inulin Mono,1,COMM10<PJ,0.08
87,0.567045273,0,Inulin Mono,1,COMM10<BT,0.08
88,0.537882437,0,Inulin Mono,1,COMM10<BT,0.08
89,0.558795012,0,Inulin Mono,1,COMM10<BT,0.08
90,0.511384889,1,Inulin Mono,1,COMM10<BT,0.08
91,0.465107108,1,Inulin Mono,1,COMM10<BT,0.08
92,0.495918292,1,Inulin Mono,1,COMM10<BT,0.08
93,0.474984152,2,Inulin Mono,1,COMM10<BT,0.08
94,0.432405169,2,Inulin Mono,1,COMM10<BT,0.08
95,0.46081813,2,Inulin Mono,1,COMM10<BT,0.08
96,0.432934601,0,Inulin Mono,1,COMM10<BV,0.08
97,0.434712104,0,Inulin Mono,1,COMM10<BV,0.08
98,0.433048779,0,Inulin Mono,1,COMM10<BV,0.08
99,0.316794653,1,Inulin Mono,1,COMM10<BV,0.08
100,0.267510429,1,Inulin Mono,1,COMM10<BV,0.08
101,0.295475138,1,Inulin Mono,1,COMM10<BV,0.08
102,0.306151686,2,Inulin Mono,1,COMM10<BV,0.08
103,0.255689135,2,Inulin Mono,1,COMM10<BV,0.08
104,0.284688333,2,Inulin Mono,1,COMM10<BV,0.08
105,0.169820053,0,Inulin Mono,1,COMM10<DP,0.08
106,0.208425782,0,Inulin Mono,1,COMM10<DP,0.08
107,0.174682051,0,Inulin Mono,1,COMM10<DP,0.08
108,0.145092106,1,Inulin Mono,1,COMM10<DP,0.08
109,0.188593967,1,Inulin Mono,1,COMM10<DP,0.08
110,0.155541431,1,Inulin Mono,1,COMM10<DP,0.08
111,0.064250582,2,Inulin Mono,1,COMM10<DP,0.08
112,0.077914283,2,Inulin Mono,1,COMM10<DP,0.08
113,0.043802362,2,Inulin Mono,1,COMM10<DP,0.08
114,0.089151486,0,Inulin Mono,1,COMM10<BP,0.08
115,0.078045304,0,Inulin Mono,1,COMM10<BP,0.08
116,0.075330446,0,Inulin Mono,1,COMM10<BP,0.08
117,0.13249317,1,Inulin Mono,1,COMM10<BP,0.08
118,0.171802378,1,Inulin Mono,1,COMM10<BP,0.08
119,0.147004583,1,Inulin Mono,1,COMM10<BP,0.08
120,0.097172856,2,Inulin Mono,1,COMM10<BP,0.08
121,0.09962013,2,Inulin Mono,1,COMM10<BP,0.08
122,0.102769486,2,Inulin Mono,1,COMM10<BP,0.08
123,0.135039233,0,Inulin Mono,1,COMM10<EL,0.08
124,0.179780887,0,Inulin Mono,1,COMM10<EL,0.08
125,0.150825784,0,Inulin Mono,1,COMM10<EL,0.08
126,0.14337207,1,Inulin Mono,1,COMM10<EL,0.08
127,0.147038423,1,Inulin Mono,1,COMM10<EL,0.08
128,0.134237942,1,Inulin Mono,1,COMM10<EL,0.08
129,0.197908321,2,Inulin Mono,1,COMM10<EL,0.08
130,0.227693482,2,Inulin Mono,1,COMM10<EL,0.08
131,0.204639201,2,Inulin Mono,1,COMM10<EL,0.08
132,0.056181139,0,Inulin Mono,1,COMM10<BH,0.08
133,0.124752816,0,Inulin Mono,1,COMM10<BH,0.08
134,0.100294819,0,Inulin Mono,1,COMM10<BH,0.08
135,0.106392324,1,Inulin Mono,1,COMM10<BH,0.08
136,0.167264496,1,Inulin Mono,1,COMM10<BH,0.08
137,0.144448473,1,Inulin Mono,1,COMM10<BH,0.08
138,0.105470903,2,Inulin Mono,1,COMM10<BH,0.08
139,0.131122424,2,Inulin Mono,1,COMM10<BH,0.08
140,0.140637394,2,Inulin Mono,1,COMM10<BH,0.08
141,0.256533139,0,Inulin Mono,1,COMM10<AC,0.08
142,0.296572398,0,Inulin Mono,1,COMM10<AC,0.08
143,0.258452571,0,Inulin Mono,1,COMM10<AC,0.08
144,0.266733863,1,Inulin Mono,1,COMM10<AC,0.08
