,Media,Time,Treatment,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
0,No carb,0.0,COMM10<DL,0.0013013235436189741,0.00034875857405081633,4.637233117573181e-05,0.0008501594048884166,0.0005468070717805043,0.005082600714906772,0.0005400444401507102,0.00030721669403922325,0.0008231088783692398,0.00015360834701961162
1,No carb,24.0,COMM10<DL_rep0.0_passage1.0,0.0019829636202307013,0.002116947648624667,0.0003483584738243123,0.3735742679680568,0.009646850044365572,0.014604259094942324,0.0006163265306122447,0.0,0.013612777284826974,0.03649724933451642
2,No carb,24.0,COMM10<DL_rep1.0_passage1.0,0.001634964499808682,0.0017092810679818036,0.0,0.3598036648101697,0.008787934186471665,0.015755112452701843,0.0006316908294715362,0.00020437056247608524,0.01488189277666766,0.033591088814251095
3,No carb,24.0,COMM10<DL_rep2.0_passage1.0,0.002087915501708605,0.0014955990473231847,0.0004886610748679715,0.3297425701563632,0.011713057885471678,0.013875012943978462,0.001006937972455214,0.00016288702495599047,0.018228538883711298,0.050198819509164334
4,No carb,0.0,COMM10<DL_rep0.0_passage2.0,9.914818101153507e-05,0.00010584738243123336,1.7417923691215617e-05,0.01867871339840284,0.0004823425022182786,0.0007302129547471163,3.081632653061224e-05,0.0,0.0006806388642413487,0.0018248624667258208
5,No carb,0.0,COMM10<DL_rep1.0_passage2.0,8.174822499043411e-05,8.546405339909018e-05,0.0,0.017990183240508485,0.00043939670932358326,0.0007877556226350921,3.158454147357681e-05,1.0218528123804262e-05,0.0007440946388333829,0.0016795544407125548
6,No carb,0.0,COMM10<DL_rep2.0_passage2.0,0.00010439577508543024,7.477995236615924e-05,2.4433053743398574e-05,0.01648712850781816,0.0005856528942735839,0.0006937506471989231,5.0346898622760705e-05,8.144351247799523e-06,0.0009114269441855649,0.002509940975458217
7,No carb,24.0,COMM10<DL_rep1.0_passage2.0,0.0018735405720957388,0.0014488713757540375,0.0003497275734578712,0.4168752675617824,0.003372373029772329,0.0032974314068884994,0.004071828176688072,0.0,0.010716652072387622,0.07149430823117338
8,No carb,24.0,COMM10<DL_rep2.0_passage2.0,0.002037185198654423,0.0010290935539594508,0.000357032457496136,0.37074670424584055,0.0038013455768706244,0.001575143194835894,0.004788435312301118,0.0,0.01535239567233385,0.06231266478770797
9,No carb,0.0,COMM10<DL_rep1.0_passage3.0,9.367702860478693e-05,7.244356878770187e-05,1.748637867289356e-05,0.02084376337808912,0.00016861865148861644,0.00016487157034442498,0.0002035914088344036,0.0,0.0005358326036193811,0.003574715411558669
10,No carb,0.0,COMM10<DL_rep2.0_passage3.0,0.00010185925993272116,5.145467769797254e-05,1.78516228748068e-05,0.018537335212292026,0.00019006727884353123,7.87571597417947e-05,0.0002394217656150559,0.0,0.0007676197836166925,0.0031156332393853987
11,No carb,24.0,COMM10<DL_rep0.0_passage3.0,0.0005563756801514076,0.0004299266619351786,0.0,0.4037011355571327,0.001492098414951502,0.0021243435060326475,0.013302436716347291,0.0,0.005563756801514076,0.10700115921457297
12,No carb,24.0,COMM10<DL_rep1.0_passage3.0,0.0006485158648925283,0.00030399181166837263,0.0,0.3635742067553736,0.0026953940634595703,0.001945547594677584,0.009666939611054248,0.0,0.003992425793244626,0.11192978505629478
13,No carb,24.0,COMM10<DL_rep2.0_passage3.0,0.0008754491017964072,0.0006107784431137723,0.0,0.3696634730538921,0.0016694610778443116,0.0021580838323353294,0.009792814371257487,0.0,0.0037257485029940115,0.08750419161676648
14,No carb,0.0,COMM10<DL_rep0.0_passage4.0,2.7818784007570382e-05,2.149633309675893e-05,0.0,0.020185056777856637,7.46049207475751e-05,0.00010621717530163237,0.0006651218358173646,0.0,0.0002781878400757038,0.005350057960728649
15,No carb,0.0,COMM10<DL_rep1.0_passage4.0,3.242579324462641e-05,1.5199590583418632e-05,0.0,0.018178710337768682,0.00013476970317297853,9.72773797338792e-05,0.00048334698055271243,0.0,0.0001996212896622313,0.005596489252814739
16,No carb,0.0,COMM10<DL_rep2.0_passage4.0,4.377245508982036e-05,3.053892215568861e-05,0.0,0.018483173652694605,8.347305389221558e-05,0.00010790419161676647,0.0004896407185628743,0.0,0.0001862874251497006,0.004375209580838324
17,No carb,24.0,COMM10<DL_rep0.0_passage4.0,0.0,0.0,0.0,0.4101646537510305,0.0050640560593569655,0.0033441879637262986,0.005828441879637263,0.0,0.002555915086562243,0.15254274525968672
18,No carb,24.0,COMM10<DL_rep1.0_passage4.0,0.0,0.0,0.0,0.3362395185335149,0.0044856627526042615,0.0025309014613317626,0.004567968491184156,0.0,0.0016461147715978945,0.209529833989767
19,No carb,24.0,COMM10<DL_rep2.0_passage4.0,0.0,0.0,0.0,0.31787667413265075,0.0021065045481555977,0.0030056223431000595,0.0035194039402111814,0.0,0.0017468574301778125,0.23374493760570464
20,No carb,0.0,SubCommD20,0.0,0.0,0.0,0.00375,0.0,0.0,0.00375,0.00375,0.00375,0.0
21,No carb,24.0,SubCommD20_rep0.0,0.0,0.0,0.0,0.31805005753739923,0.0,0.0,0.07276553509781357,0.013748561565017263,0.21493584579976985,0.0
