Treatments,Time,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
COMM10<AC,0.0,0.00029705037455446805,0.0008008930999583963,0.046251177729423075,0.02481165680036635,0.007165056304607734,0.01604357653120724,0.0005253295377577653,0.01357044754388641,0.0007624288797698715,0.0032473831984686907
COMM10<AC,24.0,0.0006170113218578143,0.012735585355688212,0.8416549009948954,0.4789076704380471,0.14011527086898917,0.6884443529967867,0.00783169799770685,0.3717141882209934,0.011148891130484445,0.0592832932699708
COMM10<BH,0.0,0.00023870957971373598,0.0005528211148112107,0.061923081963977174,0.011194512876936161,0.013564258282916271,0.014787492428483687,0.002094746410037844,0.0034766306718532498,0.0010337797166331925,0.006467300287970793
COMM10<BH,24.0,0.0023188784571344487,0.008677950338540835,1.2168937981308863,0.18414631926697583,0.2863034935290441,0.6045350494417097,0.021745211473892266,0.06599042273820233,0.02220016377883324,0.11137364609478909
COMM10<BP,0.0,0.00014217672371747282,0.0008637123150836086,0.0657066589639555,0.010002792576434119,0.01203965864420433,0.016028683016310778,0.0002178007565653127,0.004434187000570514,0.0015284340361662778,0.00383867374476986
COMM10<BP,24.0,0.0005009400875512266,0.013395442893483676,1.2416740123236456,0.16503475626316824,0.24714903231588306,0.7658317870748259,0.0027921979014917577,0.07129646857355941,0.02638747923754167,0.06395986188197546
COMM10<BT,0.0,0.00010212884374565187,0.0002209432996414003,0.023407619945669325,0.003931545547042949,0.04771442574438036,0.024153217844476514,0.0007259236623005408,0.0020708759558368773,0.0026670288098197678,0.004036290347086619
COMM10<BT,24.0,0.0,0.0035921410995174204,0.4783330859983453,0.07218356731758911,1.1486016418529899,0.45125168514547254,0.012367566087643058,0.06003865679415894,0.04766151285306786,0.0790121750194015
COMM10<BV,0.0,0.00019281329933148667,0.009529759340539337,0.044135247760150445,0.006314365329716685,0.013832418904988906,0.02329395906003587,0.0007634099959358108,0.004173422219702539,0.0032056561146229174,0.005024340313561107
COMM10<BV,24.0,0.0014832304359432566,0.17940527349321383,0.9132063349762903,0.18321862705086248,0.3965115907104362,0.46847017310906863,0.013971487187995528,0.14078193505656017,0.062196242603566904,0.11034072992554271
COMM10<DL,0.0,0.0001610276773509687,0.000268915005239462,0.00958198058192495,0.0067729442768983345,0.046226903731693,0.030426996016959498,0.000292853046208071,0.0035358379583644265,0.0014773140270819675,0.004714083932523153
COMM10<DL,24.0,0.0002958511050794881,0.004142952946208682,0.17255914769231293,0.12415787502158226,1.0749077315009576,0.5605480906734246,0.004191265951443857,0.09368578133103665,0.02494543473073694,0.08654956963360508
COMM10<DP,0.0,0.0002670589352568107,0.0013224896499868686,0.056288163821093154,0.01967366388854739,0.017743799856350762,0.006342024896292935,0.00017617833640991772,0.008122590353963486,0.0007916067691291351,0.003714090159636201
COMM10<DP,24.0,0.0027855967756821045,0.0212261501832316,1.1329863700876281,0.3120319909043647,0.4006921356133072,0.30758904631571726,0.0019835971068836006,0.24146229845470002,0.024834003795506543,0.06290881076297891
COMM10<EL,0.0,0.00026125309479418083,0.0008948105785234058,0.06036337018304152,0.015229865294606104,0.017693289551304097,0.014212333145545061,0.0005283876476409662,0.003015090250169082,0.0009832455938362686,0.004150854660539301
COMM10<EL,24.0,0.0015667109494301576,0.013710941048945262,1.0869269623707345,0.28385649080403247,0.31727902199682484,0.451927307312967,0.007485678540659419,0.0655661857879956,0.014949071902639126,0.07037629446178355
COMM10<PJ,0.0,0.0019430856737405694,0.002427027902299535,0.05490256224568649,0.01298829027224226,0.026572539720465804,0.00839639149877803,0.0006966929575442154,0.0016192778039367964,0.0009485268964099076,0.0043681306079399705
COMM10<PJ,24.0,0.017259024457398527,0.03943772457057026,1.1291656170150461,0.23015669871573358,0.4957409954031949,0.4564044963691112,0.01076529892229429,0.04487323187561075,0.018697240038998034,0.07320463665275559
COMM10<equal,0.0,0.00040669107348597586,0.0004979645179993653,0.05307243164908246,0.009320402706955448,0.010430103526436819,0.016274146297233883,0.00032280341861172355,0.020801183158219206,0.0010498949972149508,0.0035337536547601755
COMM10<equal,24.0,0.0021323897995116437,0.006830049181474222,0.993674380108903,0.1481655741467332,0.2113066437676306,0.7149342570027564,0.0028672800000000003,0.36054041160628125,0.01628098629951046,0.06140272940513549
MonospeciesAC,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,2.116352,0.0,0.0,0.03529942,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,4.561388889,0.0,0.0,0.6199993300000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,8.112386,0.0,0.0,1.2740296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,10.82305556,0.0,0.0,1.6178075000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,14.826529999999998,0.0,0.0,2.1367942,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,20.13833333,0.0,0.0,2.2016056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,26.73583333,0.0,0.0,1.7673333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,46.56238,0.0,0.0,0.85457894,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,51.69388889,0.0,0.0,0.7059289400000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesBH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
MonospeciesBH,2.116352,0.0,0.0,0.0,0.0,0.0,0.0,0.038468286666666664,0.0,0.0,0.0
MonospeciesBH,4.561388889,0.0,0.0,0.0,0.0,0.0,0.0,0.04228089333333334,0.0,0.0,0.0
MonospeciesBH,8.112386,0.0,0.0,0.0,0.0,0.0,0.0,0.06447916666666666,0.0,0.0,0.0
MonospeciesBH,10.82305556,0.0,0.0,0.0,0.0,0.0,0.0,0.08774187333333333,0.0,0.0,0.0
MonospeciesBH,14.826529999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0930120666666667,0.0,0.0,0.0
MonospeciesBH,20.13833333,0.0,0.0,0.0,0.0,0.0,0.0,2.1537682666666664,0.0,0.0,0.0
MonospeciesBH,26.73583333,0.0,0.0,0.0,0.0,0.0,0.0,2.0889346,0.0,0.0,0.0
MonospeciesBH,46.56238,0.0,0.0,0.0,0.0,0.0,0.0,1.5931989666666666,0.0,0.0,0.0
MonospeciesBH,51.69388889,0.0,0.0,0.0,0.0,0.0,0.0,1.0911735,0.0,0.0,0.0
MonospeciesBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
MonospeciesBP,2.7572222222222216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06916666666666665,0.0,0.0
MonospeciesBP,4.783888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13103333333333333,0.0,0.0
