Unnamed: 0,Media,Time,Treatment,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
0,Inulin Mono,0.0,COMM10<DL,0.0013013235436189741,0.00034875857405081633,4.637233117573181e-05,0.0008501594048884166,0.0005468070717805043,0.005082600714906772,0.0005400444401507102,0.00030721669403922325,0.0008231088783692398,0.00015360834701961162
1,Inulin Mono,24.0,COMM10<DL_rep0.0_passage1.0,0.002958511050794881,0.02465425875662401,0.43712000775494375,0.048815432338115534,0.22188832880961606,1.0658036060488558,0.0,0.007889362802119684,0.02268191805609409,0.07568857438283573
2,Inulin Mono,24.0,COMM10<DL_rep1.0_passage1.0,0.0,0.006832312481172809,0.13479967868259865,0.012556682397831108,0.07035435284667135,1.5500116477557986,0.0,0.0036931418817150313,0.014033939150517118,0.04671824480369515
3,Inulin Mono,24.0,COMM10<DL_rep2.0_passage1.0,0.0,0.009942958224290008,0.20880212271009013,0.01088097315110982,0.06603625084811476,1.5569171755355242,0.0,0.006190898517010758,0.012944605990113404,0.06378501502374721
4,Inulin Mono,0.0,COMM10<DL_rep0.0_passage2.0,0.00014792555253974405,0.0012327129378312007,0.02185600038774719,0.002440771616905777,0.011094416440480804,0.053290180302442786,0.0,0.0003944681401059842,0.0011340959028047046,0.003784428719141785
5,Inulin Mono,0.0,COMM10<DL_rep1.0_passage2.0,0.0,0.00034161562405864046,0.006739983934129933,0.0006278341198915554,0.0035177176423335675,0.07750058238778992,0.0,0.0001846570940857516,0.0007016969575258558,0.002335912240184757
6,Inulin Mono,0.0,COMM10<DL_rep2.0_passage2.0,0.0,0.0004971479112145004,0.010440106135504506,0.0005440486575554911,0.0033018125424057387,0.07784585877677623,0.0,0.00030954492585053787,0.0006472302995056702,0.003189250751187361
7,Inulin Mono,24.0,COMM10<DL_rep0.0_passage2.0,0.0,0.0,0.17292921508181172,0.2729222986325192,1.9113972018022287,0.3260950912971307,0.010587502964192554,0.010116947276895109,0.023527784364872347,0.24633590230021346
8,Inulin Mono,24.0,COMM10<DL_rep1.0_passage2.0,0.0,0.0,0.24955491329479765,0.14374108032688854,2.362963125373729,0.10135180386685268,0.018166832768586803,0.010836356388279846,0.1160127566274666,0.1953731313533984
9,Inulin Mono,24.0,COMM10<DL_rep2.0_passage2.0,0.0,0.0,0.44890007590918496,0.10664357187219654,1.6215458560485818,0.7363175074183976,0.010404250914360638,0.008236698640535505,0.048986681388448,0.15714753985232213
10,Inulin Mono,0.0,COMM10<DL_rep0.0_passage3.0,0.0,0.0,0.008646460754090587,0.01364611493162596,0.09556986009011144,0.016304754564856534,0.0005293751482096277,0.0005058473638447555,0.001176389218243617,0.012316795115010671
11,Inulin Mono,0.0,COMM10<DL_rep1.0_passage3.0,0.0,0.0,0.012477745664739885,0.007187054016344427,0.11814815626868645,0.005067590193342635,0.00090834163842934,0.0005418178194139923,0.0058006378313733295,0.00976865656766992
12,Inulin Mono,0.0,COMM10<DL_rep2.0_passage3.0,0.0,0.0,0.02244500379545925,0.005332178593609827,0.08107729280242909,0.03681587537091988,0.0005202125457180318,0.0004118349320267753,0.0024493340694224,0.007857376992616107
13,Inulin Mono,24.0,COMM10<DL_rep0.0_passage3.0,0.0,0.0,0.032915654286705995,0.4375668170774037,1.0016626171468241,0.030197847969455044,0.0,0.1932662270045123,0.0,0.04439083651509892
14,Inulin Mono,24.0,COMM10<DL_rep1.0_passage3.0,0.0,0.0,0.03880739040284361,0.1689999259478673,1.0540587973933648,0.008512588862559244,0.002754072867298578,0.3900768661137441,0.01126666172985782,0.016023696682464457
15,Inulin Mono,0.0,COMM10<DL_rep0.0_passage4.0,0.0,0.0,0.0016457827143352998,0.021878340853870186,0.0500831308573412,0.0015098923984727525,0.0,0.009663311350225615,0.0,0.002219541825754946
16,Inulin Mono,0.0,COMM10<DL_rep1.0_passage4.0,0.0,0.0,0.0019403695201421808,0.008449996297393366,0.05270293986966824,0.00042562944312796224,0.0001377036433649289,0.019503843305687205,0.000563333086492891,0.0008011848341232229
17,Inulin Mono,24.0,COMM10<DL_rep0.0_passage4.0,0.0,0.0,0.0,0.021456744933488082,1.3238379608963484,0.0027360949915186147,0.0,0.2259438442996161,0.0,0.00676823497901973
18,Inulin Mono,24.0,COMM10<DL_rep2.0_passage4.0,0.0,0.0,0.0017624188001528472,0.017995223538402754,1.1153328238440965,0.2275375429881544,0.0,0.0806074703859381,0.0,0.013264520443255635
19,Inulin Mono,0.0,SubCommD20,0.0,0.0,0.0,0.00375,0.0,0.0,0.00375,0.00375,0.00375,0.0
20,Inulin Mono,24.0,SubCommD20_rep0.0,0.0,0.0,0.0,0.3670984279475983,0.0,0.0,1.1162208733624457,0.06698746724890829,0.4841932314410479,0.0
21,Inulin Mono,24.0,SubCommD20_rep1.0,0.0,0.0,0.0,0.3987087229588277,0.0,0.0,1.0517692486624797,0.08263251919050943,0.4177987438939289,0.0
22,Inulin Mono,24.0,SubCommD20_rep2.0,0.0,0.0,0.0,0.4801373612669909,0.0,0.0,1.1884847549569773,0.07156556303778526,0.4713123207382467,0.0
23,Inulin Mono,0.0,COMM10<BH,0.0008730030659996772,0.00020251734710343715,3.227368081329676e-05,0.0004744231079554624,0.0003453283847022753,0.00031224786186864615,0.006892851379699855,0.00028723575923834114,0.0005599483621106987,2.0171050508310473e-05
24,Inulin Mono,24.0,COMM10<BH_rep0.0_passage1.0,0.008950217627856364,0.04854815016322088,1.5706275843307944,0.1828014145810664,0.4057431991294886,0.3637042981501632,0.002983405875952121,0.02305359085963004,0.05126033732317736,0.3333278019586507
25,Inulin Mono,24.0,COMM10<BH_rep1.0_passage1.0,0.006434839310666046,0.010872659524918492,1.3537570563577086,0.0656797391709362,0.2917866790870983,0.2946712622263624,0.0035502561714019563,0.017307498835584537,0.0348368886818817,0.303103120633442
26,Inulin Mono,24.0,COMM10<BH_rep2.0_passage1.0,0.007543336606266178,0.02915397661340712,0.934965991252343,0.15861394269392126,0.4167183790056235,0.3182472551995001,0.004077479246630367,0.023037757743461573,0.05137623850754262,0.3402656431313041
27,Inulin Mono,0.0,COMM10<BH_rep0.0_passage2.0,0.0004475108813928182,0.002427407508161044,0.07853137921653973,0.00914007072905332,0.02028715995647443,0.01818521490750816,0.00014917029379760602,0.0011526795429815018,0.002563016866158868,0.01666639009793253
28,Inulin Mono,0.0,COMM10<BH_rep1.0_passage2.0,0.0003217419655333023,0.0005436329762459248,0.06768785281788542,0.0032839869585468092,0.014589333954354916,0.01473356311131812,0.00017751280857009782,0.0008653749417792268,0.0017418444340940849,0.015155156031672104
